OBJECTID,Neighbourhood,F2020_Population_Projection,Assault_2020,Assault_Rate2020,AutoTheft_2020,AutoTheft_Rate2020,BreakAndEnter_2020,BreakAndEnter_Rate2020,Robbery_2020,Robbery_Rate2020,Shootings_2020,Shootings_Rate2020,Shape__Area,Shape__Length
113,Woodbine-Lumsden,8309,31,373.0894,4,48.14057,12,144.4217,6,72.21085,0,0,1196243.594,4871.174075
114,Bayview Village,24799,69,278.237,28,112.9078,30,120.9726,18,72.58357,1,0.4032421,5159044.455,9504.072053
115,Bedford Park-Nortown,26015,51,196.0407,79,303.671,64,246.0119,17,65.34692,0,0,5518148.646,12816.87904
116,Rockcliffe-Smythe,23751,128,538.9247,61,256.8313,36,151.5726,13,54.73454,5,2.105175,5070764.843,11619.95354
117,Bridle Path-Sunnybrook-York Mills,10942,45,411.2594,16,146.2256,30,274.1729,8,73.11278,3,2.741729,8838191.99,15651.29098
118,Don Valley Village,29406,96,326.464,34,115.6227,30,102.02,23,78.21533,0,0,4212380.636,8326.615202
119,Weston,20037,204,1018.116,78,389.2798,24,119.7784,27,134.7507,5,2.495384,2565537.823,10202.3941
120,Lawrence Park South,16585,28,168.8273,30,180.8863,58,349.7136,12,72.35454,0,0,3242276.782,9777.672742
121,Brookhaven-Amesbury,18892,88,465.8056,54,285.8353,33,174.6771,16,84.69193,0,0,3507374.222,8980.446318
122,Long Branch,11564,67,579.3843,23,198.8931,34,294.0159,16,138.3604,0,0,2261879.996,7806.777461
123,Malvern,47548,231,485.8249,63,132.4977,25,52.57845,24,50.47531,15,3.154707,8866243.622,12081.20843
124,Dufferin Grove,12858,79,614.4035,18,139.9907,56,435.5265,19,147.7679,3,2.333178,1387988.874,5148.294617
125,Maple Leaf,10947,30,274.0477,17,155.2937,11,100.4842,2,18.26985,1,0.9134923,2526426.713,6377.761156
126,Markland Wood,11146,42,376.8168,28,251.2112,12,107.6619,16,143.5493,0,0,2953752.249,7846.524517
127,Steeles,26911,42,156.07,28,104.0467,25,92.89881,6,22.29572,2,0.7431905,4561345.452,8943.759779
128,Lawrence Park North,15751,43,272.9985,23,146.0225,19,120.6273,12,76.18564,0,0,2289800.835,6540.183232
129,Yonge-Eglinton,13183,90,682.6974,18,136.5395,34,257.9079,10,75.85527,1,0.7585527,1650438.083,5686.684726
130,Morningside,18859,104,551.4608,31,164.3777,18,95.44514,7,37.11756,7,3.711756,5740138.351,13214.7096
131,Moss Park,23905,756,3162.518,40,167.329,201,840.8283,130,543.8193,5,2.091613,1413051.86,6204.526297
132,Little Portugal,17741,80,450.9329,27,152.1898,54,304.3797,9,50.72995,0,0,1216369.316,5440.951498
133,Woodbine Corridor,13484,68,504.3014,11,81.57816,34,252.1507,7,51.91338,0,0,1595684.463,5428.087921
134,Newtonbrook East,17742,55,309.9989,37,208.5447,38,214.181,15,84.54515,1,0.5636343,4084780.952,8094.592702
135,Milliken,29166,86,294.8639,70,240.0055,60,205.719,34,116.5741,1,0.342865,9477859.279,16781.47724
136,Pleasant View,16856,41,243.2368,29,172.0456,19,112.7195,10,59.32606,2,1.186521,2967493.111,7944.829782
137,Wychwood,16037,85,530.0243,26,162.1251,45,280.6011,19,118.476,2,1.247116,1682110.933,5435.022062
138,Leaside-Bennington,18627,29,155.688,42,225.4791,39,209.3735,7,37.57986,0,0,4784766.461,14836.61854
139,Briar Hill-Belgravia,15448,86,556.7064,37,239.5132,46,297.7732,10,64.7333,1,0.647333,1830325.197,6289.70725
140,Mimico (includes Humber Bay Shores) ,38739,286,738.2741,52,134.2317,53,136.813,11,28.39516,2,0.5162756,7059172.107,23377.95598
